date,open,high,low,close,volume,symbol
2024-11-21,593.40002,595.12,587.45001,593.66998,46750300,SPY
2024-11-22,593.65997,596.15002,593.15002,595.51001,38226400,SPY
2024-11-25,599.52002,600.85999,595.20001,597.53003,42441400,SPY
2024-11-26,598.79999,601.33002,598.070007,600.65002,45621300,SPY
2024-11-27,600.46002,600.84998,597.28003,598.83002,34000200,SPY
2024-11-29,599.65997,603.34998,599.38,602.54999,30177400,SPY
2024-12-02,602.96997,604.32001,602.46997,603.63,31746000,SPY
2024-12-03,603.39001,604.15997,602.34003,603.90997,26906600,SPY
2024-12-04,605.63,607.90997,604.95001,607.65997,42787600,SPY
2024-12-05,607.65997,608.47998,606.29999,606.65997,28762200,SPY
2024-12-06,607.44,609.070007,607.02002,607.81,31241500,SPY
2024-12-09,607.69,607.85999,604.080017,604.67999,34742700,SPY
2024-12-10,605.37,605.79999,602.13,602.79999,37234500,SPY
2024-12-11,605.78003,608.42999,605.5,607.46002,28677700,SPY
2024-12-12,606.58002,607.15997,604.33002,604.33002,31543800,SPY
2024-12-13,606.40002,607.13,602.81,604.21002,35904700,SPY
2024-12-16,606.0,607.78003,605.21002,606.78998,43695200,SPY
2024-12-17,604.19,605.16998,602.89001,604.28998,55773500,SPY
2024-12-18,603.97998,606.40997,585.89001,586.28003,108248700,SPY
2024-12-19,591.35999,593.0,585.84998,586.099976,85919500,SPY
2024-12-20,581.77002,595.75,580.90997,591.15002,125716700,SPY
2024-12-23,590.89001,595.29999,587.65997,594.69,57635800,SPY
2024-12-24,596.059998,601.34003,595.46997,601.29999,33160100,SPY
2024-12-26,599.5,602.47998,598.080017,601.34003,41219100,SPY
2024-12-27,597.53998,597.78003,590.76001,595.01001,64969300,SPY
2024-12-30,587.89001,591.73999,584.40997,588.21997,56578800,SPY
2024-12-31,589.90997,590.64001,584.41998,586.080017,57052700,SPY
2025-01-02,589.39001,591.13,580.5,584.64001,50204000,SPY
2025-01-03,587.53003,592.59998,586.42999,591.95001,37888500,SPY
2025-01-06,596.27002,599.70001,593.59998,595.35999,47679400,SPY
2025-01-07,597.41998,597.75,586.78003,588.63,60393100,SPY
